2022-08-08	2 026,87	2 003,86	2 017,15		1	
2022-08-05	2 029,80	1 998,49	1 998,57		1	
2022-08-04	2 026,91	2 009,96	2 020,83		1	
2022-08-03	2 010,62	1 987,56	2 005,58		1	
2022-08-02	2 004,14	1 987,58	1 993,92		1	
2022-08-01	2 039,96	2 000,37	2 011,11		1	
2022-07-29	2 035,43	2 004,12	2 032,53		1	
2022-07-28	1 996,02	1 978,45	1 996,02		1	
2022-07-27	1 981,71	1 965,27	1 971,38		1	
2022-07-26	1 983,44	1 961,19	1 962,96		1	
2022-07-25	1 981,72	1 965,92	1 970,89		1	
2022-07-22	1 990,18	1 962,66	1 979,70		1	
2022-07-21	1 981,92	1 940,23	1 975,97		1	
2022-07-20	1 978,87	1 950,96	1 961,31		1	
2022-07-19	1 961,38	1 904,07	1 961,12		1	
2022-07-18	1 938,32	1 911,79	1 930,50		1	
2022-07-15	1 906,62	1 873,95	1 903,82		1	
2022-07-14	1 927,92	1 885,87	1 903,51		1	
2022-07-12	1 968,81	1 916,69	1 968,81		1	
2022-07-11	1 952,77	1 934,87	1 937,49		1	
2022-07-08	1 971,06	1 943,68	1 971,04		1	
2022-07-07	1 955,12	1 926,92	1 954,58		1	
2022-07-05	1 911,82	1 865,14	1 866,16		1	
2022-07-04	1 901,30	1 881,09	1 893,56		1	
2022-07-01	1 897,18	1 850,40	1 875,94		1	
2022-06-30	1 887,01	1 858,12	1 872,68		1	
2022-06-29	1 918,50	1 895,67	1 908,31		1	
2022-06-28	1 940,62	1 911,54	1 913,14		1	
2022-06-27	1 930,78	1 901,11	1 924,84		1	
2022-06-24	1 865,54	1 865,54	1 865,54		1	
2022-06-23	1 892,04	1 861,74	1 865,54		1	
2022-06-22	1 898,75	1 864,53	1 895,84		1	
2022-06-21	1 924,36	1 900,12	1 903,38		1	
2022-06-20	1 900,29	1 881,23	1 895,24		1	
2022-06-17	1 911,84	1 882,92	1 884,27		1	
2022-06-16	1 945,69	1 883,23	1 890,33		1	
2022-06-15	1 957,67	1 927,00	1 946,86		1	
2022-06-14	1 973,12	1 927,03	1 931,39		1	
2022-06-13	1 977,63	1 948,87	1 956,50		1	
2022-06-10	2 030,76	1 988,69	1 990,80		1	
2022-06-09	2 071,32	2 042,19	2 044,06		1	
2022-06-08	2 086,20	2 059,44	2 069,93		1	
2022-06-07	2 082,71	2 054,44	2 074,21		1	
2022-06-03	2 092,26	2 067,72	2 069,41		1	
2022-06-02	2 080,52	2 047,09	2 075,68		1	
2022-06-01	2 062,95	2 038,41	2 041,26		1	
2022-05-31	2 074,31	2 042,64	2 042,64		1	
2022-05-30	2 086,10	2 069,61	2 075,28		1	
2022-05-27	2 058,10	2 016,10	2 058,10		1	
2022-05-25	2 019,78	1 981,82	1 981,82		1	
2022-05-24	2 017,99	1 995,18	2 001,10		1	
2022-05-23	2 025,14	1 998,84	2 018,87		1	
2022-05-20	2 020,10	1 987,78	1 994,09		1	
2022-05-19	1 997,35	1 967,43	1 992,40		1	
2022-05-18	2 038,75	2 001,25	2 002,54		1	
2022-05-17	2 039,86	2 013,88	2 027,34		1	
2022-05-16	2 021,33	1 996,25	2 004,49		1	
2022-05-13	2 015,90	1 979,55	2 011,33		1	
2022-05-12	1 976,82	1 936,37	1 973,48		1	
2022-05-11	1 977,66	1 943,05	1 977,47		1	
2022-05-10	1 973,59	1 924,85	1 943,11		1	
2022-05-09	1 958,85	1 908,97	1 914,82		1	
2022-05-06	1 980,66	1 939,25	1 962,00		1	
2022-05-05	2 045,18	1 981,77	1 985,13		1	
2022-05-04	2 033,47	2 008,97	2 011,12		1	
2022-05-03	2 041,00	2 024,17	2 034,46		1	
2022-05-02	2 041,74	1 895,41	2 020,41		1	
2022-04-29	2 075,31	2 042,98	2 058,90		1	
2022-04-28	2 066,40	2 024,14	2 038,56		1	
2022-04-27	2 059,76	2 011,88	2 048,69		1	
2022-04-26	2 079,75	2 018,33	2 018,33		1	
2022-04-25	2 071,75	2 041,65	2 050,64		1	
2022-04-22	2 118,33	2 088,10	2 094,94		1	
2022-04-21	2 143,36	2 104,42	2 126,44		1	
2022-04-20	2 128,83	2 095,96	2 109,10		1	
2022-04-19	2 102,92	2 066,70	2 097,89		1	
2022-04-13	2 107,13	2 080,21	2 098,58		1	
2022-04-12	2 113,96	2 063,92	2 102,20		1	
2022-04-11	2 127,66	2 091,16	2 097,71		1	
2022-04-08	2 133,79	2 117,08	2 131,86		1	
2022-04-07	2 123,88	2 095,04	2 108,04		1	
2022-04-06	2 136,14	2 080,34	2 101,21		1	
2022-04-05	2 149,03	2 123,91	2 132,52		1	
2022-04-04	2 142,33	2 101,18	2 136,44		1	
2022-04-01	2 122,13	2 086,17	2 119,62		1	
2022-03-31	2 140,75	2 092,78	2 095,17		1	
2022-03-30	2 148,38	2 107,68	2 130,30		1	
2022-03-29	2 175,17	2 134,84	2 154,38		1	
2022-03-28	2 139,01	2 113,83	2 124,93		1	
2022-03-25	2 135,18	2 100,20	2 106,52		1	
2022-03-24	2 158,66	2 127,53	2 134,16		1	
2022-03-23	2 190,66	2 140,73	2 155,64		1	
2022-03-22	2 193,88	2 169,22	2 182,78		1	
2022-03-21	2 188,22	2 166,49	2 181,05		1	
2022-03-18	2 178,83	2 148,61	2 178,83		1	
2022-03-17	2 186,82	2 144,69	2 159,00		1	
2022-03-16	2 172,45	2 121,45	2 167,15		1	
2022-03-15	2 094,67	2 044,99	2 085,08		1	
2022-03-14	2 115,07	2 077,14	2 096,44		1	
2022-03-11	2 098,20	2 043,76	2 070,80		1	
2022-03-10	2 059,90	2 018,19	2 038,92		1	
2022-03-09	2 041,93	2 000,43	2 041,62		1	
2022-03-08	2 019,91	1 945,51	1 972,04		1	
2022-03-07	2 014,25	1 902,22	1 980,35		1	
2022-03-04	2 039,33	1 982,43	1 985,54		1	
2022-03-03	2 100,21	2 044,22	2 048,51		1	
2022-03-02	2 107,06	2 041,24	2 096,53		1	
2022-03-01	2 135,07	2 084,93	2 084,93		1	
2022-02-28	2 135,22	2 083,61	2 134,07		1	
2022-02-25	2 143,92	2 074,74	2 141,52		1	
2022-02-24	2 094,76	2 038,30	2 078,06		1	
2022-02-23	2 181,54	2 139,68	2 142,03		1	
2022-02-22	2 175,99	2 108,69	2 157,92		1	
2022-02-21	2 212,63	2 140,62	2 159,30		1	
2022-02-18	2 231,17	2 190,13	2 197,72		1	
2022-02-17	2 272,57	2 224,25	2 229,15		1	
2022-02-16	2 290,95	2 256,76	2 263,41		1	
2022-02-15	2 285,87	2 234,00	2 282,06		1	
2022-02-14	2 247,55	2 210,58	2 240,97		1	
2022-02-11	2 304,41	2 284,33	2 293,77		1	
2022-02-10	2 324,67	2 299,65	2 314,26		1	
2022-02-09	2 320,46	2 283,64	2 313,14		1	
2022-02-08	2 291,32	2 262,46	2 274,40		1	
2022-02-07	2 282,05	2 252,12	2 278,64		1	
2022-02-04	2 300,25	2 250,14	2 254,30		1	
2022-02-03	2 323,12	2 275,98	2 277,67		1	
2022-02-02	2 331,91	2 317,65	2 324,48		1	
2022-02-01	2 321,64	2 304,10	2 313,20		1	
2022-01-31	2 302,16	2 281,30	2 290,16		1	
2022-01-28	2 271,87	2 232,12	2 266,82		1	
2022-01-27	2 290,02	2 242,22	2 270,12		1	
2022-01-26	2 297,90	2 257,04	2 286,11		1	
2022-01-25	2 262,95	2 225,73	2 239,72		1	
2022-01-24	2 302,24	2 211,43	2 223,99		1	
2022-01-21	2 331,67	2 296,10	2 314,06		1	
2022-01-20	2 359,63	2 325,38	2 354,51		1	
2022-01-19	2 355,27	2 306,98	2 332,96		1	
2022-01-18	2 351,50	2 309,86	2 322,80		1	
2022-01-17	2 372,94	2 353,46	2 363,12		1	
2022-01-14	2 383,50	2 356,00	2 358,29		1	
2022-01-13	2 405,24	2 386,56	2 397,96		1	
2022-01-12	2 405,00	2 374,59	2 399,18		1	
2022-01-11	2 387,13	2 365,11	2 379,19		1	
2022-01-10	2 415,91	2 346,57	2 352,73		1	
2022-01-05	2 460,71	2 442,81	2 442,81		1	
2022-01-04	2 466,93	2 450,63	2 456,17		1	
2022-01-03	2 450,68	2 424,04	2 444,19		1	
2021-12-30	2 425,20	2 415,16	2 419,73		1	
2021-12-29	2 424,06	2 410,76	2 418,90		1	
2021-12-28	2 422,44	2 406,25	2 420,47		1	
2021-12-27	2 410,40	2 377,76	2 406,61		1	
2021-12-23	2 385,66	2 345,97	2 385,63		1	
2021-12-22	2 334,81	2 312,48	2 334,81		1	
2021-12-21	2 319,52	2 302,51	2 319,52		1	
2021-12-20	2 291,26	2 257,79	2 285,72		1	
2021-12-17	2 309,61	2 286,63	2 305,92		1	
2021-12-16	2 333,19	2 304,52	2 311,03		1	
2021-12-15	2 302,02	2 280,77	2 293,46		1	
2021-12-14	2 329,74	2 283,20	2 286,37		1	
2021-12-13	2 342,51	2 309,45	2 310,35		1	
2021-12-10	2 328,72	2 308,44	2 315,73		1	
2021-12-09	2 340,72	2 317,45	2 323,89		1	
2021-12-08	2 352,68	2 321,15	2 326,55		1	
2021-12-07	2 338,68	2 304,50	2 334,85		1	
2021-12-06	2 288,66	2 247,79	2 285,53		1	
2021-12-03	2 283,67	2 238,29	2 240,83		1	
2021-12-02	2 276,13	2 243,67	2 263,20		1	
2021-12-01	2 292,88	2 252,04	2 290,72		1	
2021-11-30	2 273,99	2 229,50	2 241,66		1	
2021-11-29	2 286,21	2 255,36	2 272,27		1	
2021-11-26	2 279,66	2 241,65	2 242,18		1	
2021-11-25	2 348,46	2 326,98	2 335,59		1	
2021-11-24	2 352,65	2 324,46	2 336,50		1	
2021-11-23	2 357,61	2 331,72	2 334,31		1	
2021-11-22	2 384,43	2 368,57	2 368,57		1	
2021-11-19	2 389,11	2 356,40	2 373,92		1	
2021-11-18	2 387,14	2 366,83	2 373,04		1	
2021-11-17	2 384,10	2 364,89	2 384,10		1	
2021-11-16	2 390,34	2 368,97	2 385,63		1	
2021-11-15	2 374,71	2 358,13	2 374,47		1	
2021-11-12	2 366,46	2 345,25	2 365,45		1	
2021-11-11	2 351,03	2 328,57	2 346,46		1	
2021-11-10	2 333,17	2 316,64	2 331,42		1	
2021-11-09	2 338,95	2 321,54	2 327,12		1	
2021-11-08	2 337,23	2 319,60	2 331,85		1	
2021-11-05	2 333,64	2 322,56	2 324,90		1	
2021-11-04	2 331,92	2 320,41	2 330,07		1	
